,path_file,spk_id,duration_sec,spk_gender
0,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a010b.wav,022,5.8665,0
3,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c0202.wav,022,11.3230625,0
4,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c0201.wav,022,7.07775,0
5,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a010n.wav,022,6.2955,0
6,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c0215.wav,022,7.598875,0
7,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030r.wav,022,9.2295,0
8,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c020t.wav,022,8.568375,0
9,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c0209.wav,022,6.482,0
10,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c0207.wav,022,9.33,0
11,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c020l.wav,022,7.7256875,0
12,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o0304.wav,022,11.34875,0
13,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a010k.wav,022,6.402375,0
14,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a0105.wav,022,7.6311875,0
15,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c020o.wav,022,7.6981875,0
16,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030e.wav,022,5.3129375,0
17,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o0312.wav,022,8.2030625,0
18,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c020a.wav,022,6.611875,0
19,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a010m.wav,022,5.5514375,0
20,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030x.wav,022,5.3135,0
21,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o031a.wav,022,12.0906875,0
22,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a010g.wav,022,5.32275,0
23,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030a.wav,022,10.635,0
24,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c020s.wav,022,9.6449375,0
25,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o0315.wav,022,5.409,0
26,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o031b.wav,022,9.9399375,0
27,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c0203.wav,022,8.375,0
28,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030u.wav,022,11.641,0
29,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o0302.wav,022,6.8335,0
30,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c020x.wav,022,9.100375,0
31,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c0210.wav,022,7.211,0
32,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a010h.wav,022,7.1319375,0
34,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030q.wav,022,7.131,0
35,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a010u.wav,022,5.322625,0
36,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o031c.wav,022,11.30225,0
37,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030z.wav,022,6.5980625,0
38,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a0101.wav,022,5.8248125,0
39,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a010l.wav,022,5.273875,0
40,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a010t.wav,022,5.89575,0
41,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c020h.wav,022,7.51975,0
43,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a0103.wav,022,6.181625,0
46,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c021c.wav,022,8.282125,0
47,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c0218.wav,022,7.6256875,0
48,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a0114.wav,022,5.700875,0
49,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a010x.wav,022,6.2905,0
50,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030y.wav,022,7.624125,0
52,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a010c.wav,022,5.790375,0
53,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a010z.wav,022,5.70825,0
54,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030t.wav,022,9.6403125,0
55,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030n.wav,022,14.849125,0
56,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a0104.wav,022,5.96325,0
58,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c020g.wav,022,9.9311875,0
59,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a0110.wav,022,5.1398125,0
61,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o0301.wav,022,5.4560625,0
62,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a0102.wav,022,5.238375,0
63,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c0217.wav,022,5.0725625,0
64,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o0310.wav,022,12.5105,0
65,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c020d.wav,022,5.2328125,0
66,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030h.wav,022,5.742125,0
67,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030o.wav,022,12.2319375,0
68,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c021g.wav,022,7.5715,0
70,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a010w.wav,022,5.8156875,0
71,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030k.wav,022,8.73825,0
72,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c021d.wav,022,5.814375,0
73,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c021e.wav,022,6.76375,0
75,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c020v.wav,022,7.6251875,0
76,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o0309.wav,022,13.3861875,0
77,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a0107.wav,022,7.5514375,0
78,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a010e.wav,022,6.7305,0
79,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c020c.wav,022,5.1351875,0
80,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030j.wav,022,9.230375,0
82,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c0219.wav,022,5.0175,0
84,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030f.wav,022,7.7918125,0
85,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o030v.wav,022,10.8273125,0
86,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022a010y.wav,022,5.787,0
87,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c021f.wav,022,7.323625,0
88,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c0206.wav,022,11.2620625,0
89,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c020r.wav,022,7.1490625,0
90,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022o0311.wav,022,7.830375,0
91,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c020m.wav,022,5.709625,0
92,/dsi/gannot-lab/datasets/sharon_db/wsj0/Train/022/022c020e.wav,022,7.4593125,0
